code,assessment_version,competency_value,competency_text,subcompetency_value,subcompetency_text,beginner,competent,proficient,expert,na
RES,1,1,Research program competencies ensure development of research programs.,1.01,Research objectives and agenda,Describes the laboratory’s research objectives,Illustrates how research projects fit within the laboratory’s research objectives and agenda,Formulates research projects that align with the laboratory’s research objectives and agenda,Develops hypothesis-driven research objectives and a research agenda for the laboratory,N/A
RES,1,1,Research program competencies ensure development of research programs.,1.02,Research funding,Describes general funding mechanisms that support public health and health research,Participates in writing funding proposals for research projects,Leads drafting of research funding proposals,Manages the overall processes for obtaining and sustaining research funds,N/A
RES,1,1,Research program competencies ensure development of research programs.,1.03,Funding proposal reviews,Describes basics of the proposal review process,Reviews internal proposals to verify adherence to guidelines and recommended principles,Serves as an ad hoc reviewer for research proposal reviews,Serves on research proposal review committees,N/A
RES,1,1,Research program competencies ensure development of research programs.,1.04,Research staffing needs,Describes own role as part of the research staff,Recognizes research staffing needs,Participates in hiring research staff,Develops the strategic plan to recruit and retain researchers,N/A
RES,1,1,Research program competencies ensure development of research programs.,1.05,Research resource management,Uses financial and material resources judiciously,Considers available financial  human and material resources when planning experiments,Assesses financial  human and material resources when planning research projects,Aligns financial  human and material resources to support the research program,N/A
RES,1,1,Research program competencies ensure development of research programs.,1.06,Requirement for guidelines or standards,Complies with guidelines and standards requirements in the performance of research,Identifies noncompliance with standards and guidelines requirements pertaining to the performance of research,Manages processes regarding staff compliance with standards and guidelines requirements concerning the performance of research,Ensures that laboratory programs operate consistent with standards and guidelines requirements concerning the performance of research,N/A
RES,1,2,Ethical conduct competencies ensure the ethical and responsible conduct of research.,2.01,Ethical conduct in research,Complies with policies  processes and procedures related to ethical conduct in research,Explains policies  processes and procedures regarding ethical conduct in research,Ensures staff compliance to policies and procedures related to ethical research practices,Oversees the policies  processes and procedures for implementing and maintaining ethical research practices,N/A
RES,1,2,Ethical conduct competencies ensure the ethical and responsible conduct of research.,2.02,Human and nonhuman subjects,Complies with policies  processes and procedures related to doing research in human and nonhuman subjects,Explains policies  processes and procedures related to doing research in human and nonhuman subjects,Ensures staff compliance to policies and procedures related to doing research in human and nonhuman subjects,Oversees the policies  processes and procedures for implementing and maintaining ethical practices related to doing research in human and nonhuman subjects,N/A
RES,1,2,Ethical conduct competencies ensure the ethical and responsible conduct of research.,2.03,Collaboration,Complies with established agreements with collaborators,Describes complexities regarding issues of collaboration  including authorship,Ensures staff compliance with established agreements for research collaboration,Builds research collaborations,N/A
RES,1,2,Ethical conduct competencies ensure the ethical and responsible conduct of research.,2.04,Sharing research data,Complies with established agreements pertaining to research data sharing and the use of intellectual property,Describes issues that might arise pertaining to data ownership and the sharing of data,Ensures staff compliance with established agreements regarding data sharing,Establishes guidelines for sharing research data,N/A
RES,1,3,Research foundation competencies ensure integration of scientific and technical knowledge for use as a foundation for research.,3.01,Literature searches,Performs basic literature searches using a limited number of sources,Performs complex searches  aggregating results from multiple sources,Validates appropriateness of how searches are performed,Rectifies gaps in data generated from searches,N/A
RES,1,3,Research foundation competencies ensure integration of scientific and technical knowledge for use as a foundation for research.,3.02,Critique of scientific literature,Reads scientific and technical literature relevant to own work,Assesses quality of literature and pertinence to own work,Synthesizes scientific evidence derived from literature,Evaluates scientific literature and data to determine impact on laboratory research programs,N/A
RES,1,3,Research foundation competencies ensure integration of scientific and technical knowledge for use as a foundation for research.,3.03,Statistical concepts and tests,Recognizes meaning of common statistical concepts and tests,Applies appropriate statistical concepts and tests in performance of research,Interprets statistical tests and concepts used in literature,Critiques statistical tests and concepts used in literature,N/A
RES,1,3,Research foundation competencies ensure integration of scientific and technical knowledge for use as a foundation for research.,3.04,Study designs,Explains characteristics of common study designs,Recognizes strengths and limitations of study designs,Considers study design characteristics when planning research activities,Evaluates evidence-based research guidelines to select or develop study designs,N/A
RES,1,3,Research foundation competencies ensure integration of scientific and technical knowledge for use as a foundation for research.,3.05,Scientific and technical concepts and procedures,States scientific and technical concepts and procedures,Discusses scientific and technical concepts and procedures,Critiques scientific and technical concepts and procedures,Generates novel scientific and technical concepts and procedures,N/A
RES,1,3,Research foundation competencies ensure integration of scientific and technical knowledge for use as a foundation for research.,3.06,Emerging trends,States latest scientific and technical advances relevant to current research,Discusses latest scientific and technical advances relevant to current research,Identifies emerging trends in scientific and technical advances and possible impact to laboratory,Analyzes emerging trends in scientific and technical advances to make decisions regarding impact on laboratory,N/A
RES,1,4,Testing methodology development competencies ensure development of new testing methodology.,4.01,New testing methodologies,States the purpose of each step in existing testing methodologies employed,Describes limitations of existing methodologies,Proposes concepts for improved methodologies,Oversees plans for the development of new methodologies,N/A
RES,1,4,Testing methodology development competencies ensure development of new testing methodology.,4.02,Pilot testing  method validation and performance verification,Contributes to pilot testing  method validation or performance verification,Performs pilot testing  method validation or performance verification,Designs strategies for pilot testing  method validation or performance verification,Oversees pilot testing  method validation and performance verification studies,N/A
RES,1,4,Testing methodology development competencies ensure development of new testing methodology.,4.03,New methodology application,Participates in implementation of new methodologies,Implements new methodologies into laboratory practice,Manages implementation of new methodologies,Oversees the implementation of new methodologies within the laboratory,N/A
RES,1,5,Research project execution competencies ensure conduct of research to address a public health or health issue or answer a public health or health question.,5.01,Research project design,Explains how own tasks and activities support specific research projects,Summarizes the health issues and research questions addressed by specific research projects,Designs research projects,Oversees research projects to address the identified health issues or questions,N/A
