id,term,definition
1,Accounts receivable,"the tracking of payments owed to the laboratory from the provision of goods and services, and the management of invoices generated for clients and other customers. "
2,Accreditation,the process by which an authoritative body gives formal recognition that an organization is competent to carry out specific tasks.
3,Active listening,"a communication technique in which a listener is attentive and empathetic, accepts the speaker’s message without judgment, asks questions, and restates or paraphrases the speaker’s message to get all the information needed to make a decision and to ensure full comprehension by both parties."
4,Administrative controls,"measures concerning work procedures such as written safety policies, work practices, rules, supervision, schedules, and training with the goal of reducing the duration, frequency, and severity of exposures to hazardous materials or situations."
5,After Action Review (AAR),"a structured activity or de-brief process for analyzing what happened, why it happened, and how it can be done better."
6,Agent-specific antigen detection," methods designed to test for specific antigens of microbial agents (e.g., bacteria, fungi, parasites, viruses) or for microbial antigen-specific antibodies. Testing might be performed using enzyme immunoassays (EIA) or immunofluorescent assays for direct detection of the antigen in a clinical sample or for identification of a given agent after it has been cultivated."
7,Alternative assessment,a system for determining the reliability of tests for which proficiency testing is either not available or not required. Appropriate alternative assessment procedures might include split-sample analysis with reference or other laboratories; split-sample analysis with an established in-house method; analysis using assayed materials or regional pools; clinical validation by chart review; or other suitable and documented means. Alternative assessment may also be considered performance testing.
8,Assessment," a systematic process of collecting and analyzing data to determine the current, historical, or projected condition of an organization, process, or activity; also referred to as inspection or survey."
9,Assessment rubric ,a scoring tool that explicitly represents the performance expectations for an assignment or piece of work. 
10,Assets," the resources of an organization or facility (e.g., staff, equipment, instruments, computers, materials including select agents and toxins, and controlled chemicals and other chemical materials)."
11,Automated identification system,"an automated, computerized system developed for the identification of bacteria and yeasts in clinical and nonclinical samples. Such systems can be semi-automated or fully automated. Examples include biochemical methods, nucleic acid amplification tests (NAAT), antimicrobial susceptibility testing panels, high-performance liquid chromatography (HPLC), and mass spectrometry."
