code,assessment_version,competency_value,competency_text,subcompetency_value,subcompetency_text,beginner,competent,proficient,expert,na
INF,1,1,Laboratory test request and sample receiving competencies ensure management of sample receiving and the processing of laboratory test requests.,1.01,Sample receiving and accessioning,Describes electronic modules used to log in samples with corresponding electronic requests,Verifies electronic accessioning activities to ensure completeness and accuracy,Evaluates the electronic modules needed for sample receiving and accessioning,Designs log-in screens to automate sample receiving and accessioning and to automate processing of electronic test request messages,N/A
INF,1,1,Laboratory test request and sample receiving competencies ensure management of sample receiving and the processing of laboratory test requests.,1.02,Electronic data exchange regarding test requests,Describes electronic modules used to receive data on samples using one or more standard message types,Performs oversight of entered data to ensure accurate mapping of client data to comparable fields in electronic systems,Manages daily electronic data exchange activities regarding test requests to ensure efficient operations and resolution of root causes of errors,Designs systems to automate electronic test orders and work processes,N/A
INF,1,1,Laboratory test request and sample receiving competencies ensure management of sample receiving and the processing of laboratory test requests.,1.03,Vocabulary standards,Lists local codes and standardized codes,Manages use of vocabulary standards across parties,Evaluates use of vocabulary standards for identification of missing or misidentified codes,Develops codes for generation of messages using multiple standardized vocabulary formats and integration of local and new codes and vocabulary standards,N/A
INF,1,1,Laboratory test request and sample receiving competencies ensure management of sample receiving and the processing of laboratory test requests.,1.04,Test orders,Describes processes and procedures for test orders,Verifies the electronic assignment of tests to specific laboratory programs,Evaluates the need for new test orders and associated meta data,Designs workflows and modules to automate assignment of test orders to specific laboratory programs,N/A
INF,1,1,Laboratory test request and sample receiving competencies ensure management of sample receiving and the processing of laboratory test requests.,1.05,Hardware to promote sample handling efficiency,Uses basic hardware  scanners  and robotics,Troubleshoots installation and operation of basic automation hardware,Configures a variety of complex hardware to ensure proper operation,Integrates use of new technologies for sample accessioning,N/A
INF,1,1,Laboratory test request and sample receiving competencies ensure management of sample receiving and the processing of laboratory test requests.,1.06,Capture of auxiliary data,Describes required identifiers and core data elements,Verifies the routine entry of metadata and pass-through auxiliary data,Manages problem resolution concerning entry of metadata and auxiliary data,Designs modules to automate the entry of auxiliary data  the identification of core data elements  and the inclusion of new data elements,N/A
INF,1,2,Test preparation  Laboratory Information Management System (LIMS) processing  test results recording and verification competencies ensure management of,2.01,Test preparation and receipt of samples,Describes use of predefined electronic modules to assign samples or batches of samples to processes in the laboratory,Verifies the assignment of samples to individual test processes or test processing combinations,Manages prioritization for preparation and handling of samples,Designs systems to automate the electronic management of pre-examination operations on samples received individually or in batch,N/A
INF,1,2,Test preparation  Laboratory Information Management System (LIMS) processing  test results recording and verification competencies ensure management of,2.02,Electronic test requests from submitters,Describes how to use electronic modules to manage individual or batches of samples from submitters,Verifies the receipt of samples and associated electronic test requests from submitters,Ensures that valid values and test codes are properly harmonized between submitters and receiving laboratory,Designs systems to automate the electronic management of test requests from submitters,N/A
INF,1,2,Test preparation  Laboratory Information Management System (LIMS) processing  test results recording and verification competencies ensure management of,2.03,LIMS tracking of testing processes and associated sample sources,Describes how to use electronic modules to track testing processes and associated sample sources,Verifies effectiveness of ongoing sample source tracking and submitter’s monitoring efforts,Evaluates the LIMS tracking of testing processes and associated sample sources,Designs systems to automate and manage the tracking of testing processes and associated sample sources,N/A
INF,1,2,Test preparation  Laboratory Information Management System (LIMS) processing  test results recording and verification competencies ensure management of,2.04,Test results recording,Describes electronic modules  vocabulary  and usage for specific test results,Populates test results data using pre-existing modules,Troubleshoots automated test results data capture utilities,Designs analytical sequences for instrument integration and data capture utilities to automate data transfer from instruments,N/A
INF,1,2,Test preparation  Laboratory Information Management System (LIMS) processing  test results recording and verification competencies ensure management of,2.05,Data review,Describes preparation of data summaries that are used for review processes,Verifies data and results using predefined progress reports,Evaluates the need for new tracking reports to facilitate data review,Develops workflows and utilities to ensure that needed data are supplied,N/A
INF,1,2,Test preparation  Laboratory Information Management System (LIMS) processing  test results recording and verification competencies ensure management of,2.06,Data verification,Explains test result choices that exist for specific test requests and describes results approval Process and the verification process,Verifies that the electronic transfer of quality assurance (QA) and quality control (QC) data occurs to ensure that test results meet procedural requirements and auto-assignment,Institutes rules to ensure that laboratory programs have tools to manage data verification processes,Designs the processes for automating data verification and associating QA and QC data with individual sample tests and batches before reporting,N/A
INF,1,2,Test preparation  Laboratory Information Management System (LIMS) processing  test results recording and verification competencies ensure management of,2.07,Auto-assignment of reflex or repeat testing,Describes the electronic processes that define auto-assignment of reflex or repeat testing,Verifies that auto-assignment of reflex or repeat testing is performed,Evaluates the processes for auto-assignment of reflex or repeat testing,Develops code for design and configuration of processes for automating the assignment of reflex or repeat testing,N/A
INF,1,3,Report preparation and distribution competencies ensure management of test result report creation and distribution.,3.01,Processing of data for reports,Describes electronic modules used to print data and information in automated reports,Verifies analytical data  information and reports,Appraises solutions for data selection for non-routine reports and for research purposes,Constructs queries for ad hoc data searches,N/A
INF,1,3,Report preparation and distribution competencies ensure management of test result report creation and distribution.,3.02,Report production,Describes use of electronic modules to generate automated and manual reports or test results,Selects results for reporting using standardized predefined report formats,Evaluates report production processes,Develops code to query and report laboratory data,N/A
INF,1,3,Report preparation and distribution competencies ensure management of test result report creation and distribution.,3.03,Electronic reporting,Sends predefined reports via electronic reporting formats,Reports test results using predefined electronic messages that meet agreed-upon standards,Manages the tracking and needs assessment of electronic reporting of data,Develops reports that contain electronic messages for test results using agreed-upon standards and vocabulary for message creation and transport,N/A
INF,1,3,Report preparation and distribution competencies ensure management of test result report creation and distribution.,3.04,Management of reports,Prints predefined reports according to policies,Verifies that reports adhere to submitters’ data exchange format requirements for electronic results submittal and reporting,Modifies non-complex electronic formats to meet customer requirements,Develops automated processes to manage reporting of results,N/A
INF,1,4,Laboratory test scheduling competencies ensure management of laboratory test scheduling.,4.01,Scheduling documents,Prints existing worksheets  work lists  and test scheduling documents,Prioritizes test scheduling to resolve conflicts and turnaround time,Develops work lists  worksheets  and test scheduling documents,Develops processes for integration of documents to link test orders with test results,N/A
INF,1,4,Laboratory test scheduling competencies ensure management of laboratory test scheduling.,4.02,Management of test schedules,Enters data to remove or restore completed test requests,Uses specific data elements associated with process improvement to manage test schedules,Evaluates the workflow for process improvement opportunities,Develops codes to automate the creation of test status reports and workflows,N/A
INF,1,4,Laboratory test scheduling competencies ensure management of laboratory test scheduling.,4.03,Prioritization of tests,Logs in samples according to predefined generic priorities,Manages test requests using laboratory-specified criteria,Organizes specific data elements associated with process improvement indicators to prioritize test scheduling,Develops systems to electronically generate a real-time test schedule,N/A
INF,1,5,Prescheduled testing competencies ensure management of prescheduled testing.,5.01,Prescheduling,Describes electronic modules for receipt and processing of pre-scheduled samples and kit distribution,Manages scheduling of single or recurring test requests,Troubleshoots electronic systems to preschedule tests and to predict and adjust workload,Develop automated processes to manage the receipt and processing of pre-scheduled samples  recurring test requests and kit distribution,N/A
