code,assessment_version,competency_value,competency_text,subcompetency_value,subcompetency_text,beginner,competent,proficient,expert,na
QMS,1,1,Organization competencies ensure that the laboratory’s organizational structure is committed to achieving and maintaining quality.,1.01,Commitment to quality,Describes quality concepts and good professional practice,Demonstrates actions consistent with quality concepts and good professional practice,Sustains laboratory QMS processes and procedures to ensure good professional practice,Oversees the development of policies  processes and procedures for review and maintenance of the QMS,N/A
QMS,1,1,Organization competencies ensure that the laboratory’s organizational structure is committed to achieving and maintaining quality.,1.02,Organizational structure,Identifies the laboratory’s organizational structure that ensures quality,Explains how the laboratory’s organizational structure ensures quality,Manages organizational structure to ensure quality,Coordinates organizational structure to ensure the QMS is well-integrated into all levels of laboratory operations,N/A
QMS,1,1,Organization competencies ensure that the laboratory’s organizational structure is committed to achieving and maintaining quality.,1.03,Quality culture,Describes the culture  programs  and communication processes regarding quality  safety and ethical practices,Adheres to the culture  programs  and communication processes regarding quality  safety and ethical practices,Advocates for a culture of quality  safety and ethics,Fosters a culture of quality  safety and ethics,N/A
QMS,1,1,Organization competencies ensure that the laboratory’s organizational structure is committed to achieving and maintaining quality.,1.04,Resources,Identifies resources used to support the QMS,Requests resources to support the QMS,Makes resource allocation decisions to support the QMS,Ensures the ability to respond to unanticipated needs for resources to support the QMS,N/A
QMS,1,1,Organization competencies ensure that the laboratory’s organizational structure is committed to achieving and maintaining quality.,1.05,Cost of quality,Describes how cost-effective quality measures can improve laboratory performance,Analyzes quality measures to evaluate the costs of maintaining quality,Develops the procedures to estimate and compare quality costs,Creates an action plan to address the impact of quality costs on regulatory compliance  customer service and the operating budget,N/A
QMS,1,2,Customer focus competencies ensure that customer needs  expectations and requirements are consistently met.,2.01,Customer satisfaction,Recognizes the laboratory’s internal and external customers,Responds to internal and external customer inquiries and feedback,Analyzes feedback and satisfaction data from internal and external customers,Oversees the system for measuring customer and user satisfaction,N/A
QMS,1,2,Customer focus competencies ensure that customer needs  expectations and requirements are consistently met.,2.02,Customer services,Describes the customer services provided by the laboratory to meet customer needs  expectations and requirements,Adheres to roles and responsibilities in meeting customer needs  expectations and requirements,Develops procedures to address customer needs  expectations and requirements,Oversees the policies  processes and procedures for providing customer services that meet customer needs  expectations and requirements,N/A
QMS,1,3,Facilities and safety competencies ensure that the laboratory‘s physical environment  maintenance and safety programs meet applicable requirements.,3.01,Workplace safety,Participates in required workplace training regarding safety and maintenance of the physical environment,Manages work area to ensure staff compliance with safety requirements,Develops site-specific workplace safety policies and procedures,Oversees the policies  processes and procedures to develop  review and maintain a safety plan that meets requirements,N/A
QMS,1,3,Facilities and safety competencies ensure that the laboratory‘s physical environment  maintenance and safety programs meet applicable requirements.,3.02,Facilities,Describes the laboratory design  escape routes  and workplace accommodations,Monitors environmental controls for good laboratory practice and testing capabilities,Ensures security and containment of staff  samples  laboratory supplies and laboratory equipment,Directs the process and planning for facility design  modification and renovation,N/A
QMS,1,3,Facilities and safety competencies ensure that the laboratory‘s physical environment  maintenance and safety programs meet applicable requirements.,3.03,Waste management,Describes waste management policies  processes and procedures,Applies waste management policies  processes and procedures to activities,Trains staff on the waste management plan  including recycling and disposal methods,Ensures the waste management plan follows regulatory requirements,N/A
