code,assessment_version,competency_value,competency_text,subcompetency_value,subcompetency_text,beginner,competent,proficient,expert,na
SHC,1,1,Engineering control competencies ensure implementation of intervention strategies to control hazards by systematically minimizing  isolating or removing hazards from,1.01,Engineering controls,Describes engineering controls,Employs engineering controls to eliminate or reduce targeted laboratory hazards,Develops standard operating procedures (SOPs) and work instructions that incorporate engineering controls,Ensures the implementation of policies  processes and procedures related to engineering control design  creation and use,N/A
SHC,1,1,Engineering control competencies ensure implementation of intervention strategies to control hazards by systematically minimizing  isolating or removing hazards from,1.02,Training on engineering controls,Completes required training before using engineering controls,Explains engineering controls,Develops required training for engineering controls,Ensures that training is adequate and appropriate for the engineering controls used in the laboratory,N/A
SHC,1,1,Engineering control competencies ensure implementation of intervention strategies to control hazards by systematically minimizing  isolating or removing hazards from,1.03,Function verification and maintenance of engineering controls,Describes function verification  maintenance and troubleshooting procedures for engineering controls,Performs function verification  maintenance and troubleshooting processes and procedures for engineering controls,Manages the procedures for function verification  maintenance and troubleshooting for engineering controls,Develops policies  processes and procedures to ensure function verification  maintenance and troubleshooting for engineering controls,N/A
SHC,1,1,Engineering control competencies ensure implementation of intervention strategies to control hazards by systematically minimizing  isolating or removing hazards from,1.04,Malfunction of engineering controls,Recognizes when engineering controls are compromised  malfunctioning or non-functioning  and the resulting reporting requirements,Implements procedures to address and report when engineering controls are compromised  malfunctioning or non-functioning,Manages processes and procedures for addressing and reporting situations in which engineering controls are compromised  malfunctioning or non-functioning,Develops policies  processes and procedures for remediation and reporting of engineering control malfunctions to ensure minimal exposure and release of targeted hazards,N/A
SHC,1,2,Safe work practice competencies ensure work practices and procedures are designed to minimize exposure to hazards and to adhere to national or international,2.01,Good facilities maintenance and repair procedures,Describes good facilities maintenance and repair procedures,Practices good facilities maintenance and repair procedures,Develops processes and procedures related to the establishment and maintenance of good facilities maintenance and repair,Oversees the implementation of policies  processes and procedures related to good facilities maintenance and repair keeping,N/A
SHC,1,2,Safe work practice competencies ensure work practices and procedures are designed to minimize exposure to hazards and to adhere to national or international,2.02,Personal hygiene procedures,Describes personal hygiene procedures,Complies with personal hygiene procedures,Develops personal hygiene procedures,Ensures staff adherence to personal hygiene policies  processes and procedures,N/A
SHC,1,2,Safe work practice competencies ensure work practices and procedures are designed to minimize exposure to hazards and to adhere to national or international,2.03,Safety practices and procedures,Describes proper work practices and procedures,Uses proper work practices and procedures,Develops proper work practices and procedures,Ensures staff knowledge and use of proper work practices and procedures,N/A
SHC,1,2,Safe work practice competencies ensure work practices and procedures are designed to minimize exposure to hazards and to adhere to national or international,2.04,Work schedules,Describes how adherence to own scheduled work activities and tasks minimizes exposure,Monitors staff adherence to established work schedules and assigned tasks,Implements procedures to ensure scheduling of work activities and/ or workers’ tasks minimize staff exposure levels,Designs processes and procedures to ensure scheduling of work activities and/or workers’ tasks minimize staff exposure levels,N/A
SHC,1,3,Personal protective equipment (PPE) competencies ensure the selection  use and care of PPE while being continually mindful of its limitations.,3.01,PPE selection,Describes appropriate PPE and its limitations for jobs assigned,Selects appropriate PPE for jobs assigned,Develops procedures for the appropriate selection of PPE,Ensures staff knowledge of procedures for the appropriate selection of PPE,N/A
SHC,1,3,Personal protective equipment (PPE) competencies ensure the selection  use and care of PPE while being continually mindful of its limitations.,3.02,PPE use,Describes specific PPE and its limitations for use with each laboratory procedure,Uses specific PPE for each laboratory procedure,Determines procedures for use of specific PPE,Ensures staff compliance with procedures for use of specific PPE,N/A
SHC,1,3,Personal protective equipment (PPE) competencies ensure the selection  use and care of PPE while being continually mindful of its limitations.,3.03,PPE inspection,Describes pre- and post-inspection procedures for PPE,Implements pre- and post-inspection procedures for PPE,Develops pre- and post-inspection procedures for PPE,Ensures staff knowledge of pre- and post-inspection procedures for PPE,N/A
SHC,1,4,Systems to track hazards competencies establish a system to detect and to control or eliminate the underlying causes of hazards or exposures.,4.01,Hazard reporting  tracking  and investigation,Describes the procedures for reporting hazardous conditions,Implements procedures for reporting and tracking all hazards,Develops procedures to report  track and investigate hazards in their workspace,Ensures staff compliance with reporting  tracking  and investigating hazards in the workplace,N/A
SHC,1,5,Preventive maintenance competencies ensure conduct of regular maintenance to ensure effective functioning of laboratory equipment and to extend the life of,5.01,Planned maintenance,Performs required preventive maintenance functions,Complies with processes and procedures to ensure equipment continues to function effectively,Implements the processes and procedures to ensure equipment continues to function effectively,Develops the policies  processes and procedures to ensure equipment continues to function effectively,N/A
SHC,1,5,Preventive maintenance competencies ensure conduct of regular maintenance to ensure effective functioning of laboratory equipment and to extend the life of,5.02,Corrective maintenance,Describes troubleshooting methods to determine whether equipment is malfunctioning and the cause,Complies with processes and procedures to ensure equipment repairs,Implements the processes and procedures to ensure equipment repairs,Develops the policies  processes and procedures to ensure repairs are conducted in accordance with organizational safety and health procedures,N/A
SHC,1,6,Decontamination and laboratory waste management competencies establish a laboratory waste management plan that adheres to national  regional and local,6.01,Decontamination of laboratory waste,Describes procedures for spill cleanup and decontamination of laboratory waste,Implements procedures for spill cleanup and decontamination of laboratory waste,Manages procedures for spill cleanup and decontamination of laboratory waste,Develops policies  processes and procedures for spill cleanup and decontamination of laboratory waste,N/A
SHC,1,6,Decontamination and laboratory waste management competencies establish a laboratory waste management plan that adheres to national  regional and local,6.02,Categorization and handling of segregated waste,Describes procedures for laboratory waste categorization and handling,Implements procedures for laboratory waste categorization and handling,Manages procedures for laboratory waste categorization and handling,Ensures staff compliance with laboratory waste categorization and handling policies  processes and procedures,N/A
SHC,1,6,Decontamination and laboratory waste management competencies establish a laboratory waste management plan that adheres to national  regional and local,6.03,Treatment and disposal,Describes procedures for disposal and treatment of laboratory waste,Implements procedures for disposal and treatment of laboratory waste,Manages procedures for disposal and treatment of laboratory waste,Ensures staff compliance with policies  processes and procedures for disposal and treatment of laboratory waste,N/A
SHC,1,6,Decontamination and laboratory waste management competencies establish a laboratory waste management plan that adheres to national  regional and local,6.04,Waste reduction,Describes procedures for laboratory waste reduction,Implements procedures for laboratory waste reduction,Manages procedures for laboratory waste reduction,Ensures staff compliance with policies  processes and procedures for laboratory waste reduction,N/A
SHC,1,6,Decontamination and laboratory waste management competencies establish a laboratory waste management plan that adheres to national  regional and local,6.05,Control access to regulated waste,Describes procedures for preventing public access to regulated waste,Implements procedures for preventing public access to regulated waste,Manages procedures for preventing public access to regulated waste,Ensures staff compliance with policies  processes and procedures for preventing public access to regulated waste,N/A
SHC,1,6,Decontamination and laboratory waste management competencies establish a laboratory waste management plan that adheres to national  regional and local,6.06,Waste management issues and problems,Describes procedures for reporting and responding to issues or problems regarding laboratory waste management,Implements procedures for reporting and responding to issues or problems regarding laboratory waste management,Develops procedures to ensure that issues or problems regarding laboratory waste management are reported and addressed,Ensures staff compliance with policies  processes and procedures to address laboratory waste management issues or problems,N/A
SHC,1,6,Decontamination and laboratory waste management competencies establish a laboratory waste management plan that adheres to national  regional and local,6.07,Monitoring and evaluation,Describes procedures for monitoring the laboratory waste management plan,Implements procedures for monitoring the laboratory waste management plan,Develops procedures for monitoring the laboratory waste management plan,Ensures staff compliance with policies  processes and procedures for monitoring the laboratory waste management plan,N/A
