code,assessment_version,competency_value,competency_text,subcompetency_value,subcompetency_text,beginner,competent,proficient,expert,na
MCB,1,1,Concepts and techniques competencies ensure adherence to policies and principles governing actions and behaviors that are essential when working in a microbiology,1.01,Microbiological concepts and theories,Describes basic microbiological concepts and theories,Relates microbiological concepts and theories to the specific tests that are conducted,Ensures microbiological concepts and theories are applied in laboratory testing,Evaluates laboratory practices for adherence to accepted microbiological concepts and theories,N/A
MCB,1,1,Concepts and techniques competencies ensure adherence to policies and principles governing actions and behaviors that are essential when working in a microbiology,1.02,Basic microbiological techniques,Applies basic microbiological techniques to laboratory testing,Integrates basic microbiological techniques into new laboratory practices and procedures,Trains staff on basic microbiological techniques,Ensures implementation of basic microbiological techniques into laboratory practices,N/A
MCB,1,2,Facilities and safety competencies ensure work with microbiological agents is conducted safely within a laboratory facility.,2.01,Laboratory hazards related to microbiological agents,Recognizes laboratory hazards and hazard communication related to microbiological agents,Explains laboratory hazards and hazard communication related to microbiological agents,Ensures staff compliance with policies  processes and procedures addressing laboratory hazards related to microbiological agents,Develops policies  processes and procedures regarding hazards related to microbial agents based on risk assessments*,N/A
MCB,1,2,Facilities and safety competencies ensure work with microbiological agents is conducted safely within a laboratory facility.,2.02,Safe work practices,Adheres to policies  processes and procedures regarding safe work practices related to microbiological agents,Explains policies  processes and procedures regarding safe work practices related to microbiological agents,Ensures staff compliance with policies  processes and procedures regarding safe work practices related to microbiological agents,Creates a culture of biosafety by ensuring that policies  processes and procedures regarding safe work practices related to microbiological agents are aligned with current standards and regulatory requirements,N/A
MCB,1,2,Facilities and safety competencies ensure work with microbiological agents is conducted safely within a laboratory facility.,2.03,Personal protective equipment (PPE),Adheres to policies  processes and procedures regarding PPE use for work related to microbiological agents,Explains policies  processes and procedures regarding PPE use for work related to microbiological agents,Ensures staff compliance with policies  processes and procedures regarding PPE use for work related to microbiological agents,Establishes policies  processes and procedures regarding PPE use for work related to microbiological agents,N/A
MCB,1,2,Facilities and safety competencies ensure work with microbiological agents is conducted safely within a laboratory facility.,2.04,Biosafety cabinets and other engineering controls,Adheres to policies  processes and procedures regarding the use of biosafety cabinets and other engineering controls,Explains use of biosafety cabinets and other engineering controls,Ensures laboratory adherence to biosafety cabinet certification and staff compliance with policies  processes and procedures regarding the use of biosafety cabinets and other engineering controls,Establishes policies  processes and procedures  including training  to ensure implementation and use of biosafety cabinets and other engineering controls,N/A
MCB,1,2,Facilities and safety competencies ensure work with microbiological agents is conducted safely within a laboratory facility.,2.05,Waste management related to microbiological agents,Adheres to policies  processes and procedures regarding waste management related to microbiological agents,Explains waste management policies  processes and procedures related to microbiological agents,Establishes waste management processes and procedures related to microbiological agents,Oversees the waste management plan related to microbiological agents,N/A
MCB,1,2,Facilities and safety competencies ensure work with microbiological agents is conducted safely within a laboratory facility.,2.06,Decontamination,Adheres to policies  processes and procedures regarding decontamination,Explains policies  processes and procedures regarding decontamination for different microorganisms,Ensures staff compliance with policies  processes and procedures regarding decontamination,Develops policies  processes and procedures related to decontamination,N/A
MCB,1,2,Facilities and safety competencies ensure work with microbiological agents is conducted safely within a laboratory facility.,2.07,Storage of microbiological materials,Adheres to policies  processes and procedures regarding storage of microbiological materials,Explains policies  processes and procedures regarding the storage of microbiological materials for different microorganisms,Ensures staff compliance with policies  processes and procedures that address the storage of microbiological materials,Develops policies  processes and procedures related to the storage of microbiological materials,N/A
MCB,1,3,Pre-examination competencies ensure assessment of microbiological samples during the pre-examination phase.,3.01,Sample collection  labeling and handling,Describes routine sample collection  labeling and handling policies  processes and procedures for microbiological examination,Consults on non-routine sample collection  labeling  and handling procedures for microbiological examination,Monitors staff compliance with established policies  processes and procedures regarding microbiological sample collection  labeling and handling,Oversees the policies  processes and procedures for sample collection  labeling and handling for microbiological examination,N/A
