code,assessment_version,competency_value,competency_text,subcompetency_value,subcompetency_text,beginner,competent,proficient,expert,na
SEC,1,1,Risk mitigation competencies ensure that the laboratory’s risk mitigation plan meets organizational goals  national requirements and established standards.,1.01,Security concepts,Describes security concepts,Applies security concepts in support of organizational goals,Interprets security concepts to adapt policies and procedures to support organizational goals,Develops security policies  processes and procedures  including security standards,N/A
SEC,1,1,Risk mitigation competencies ensure that the laboratory’s risk mitigation plan meets organizational goals  national requirements and established standards.,1.02,Risk assessment*,Describes the risk assessment process and procedures,Identifies assets  vulnerabilities and potential threats for incorporation into risk analyses,Manages the risk assessment process,Develops policies  processes and procedures regarding risk assessment,N/A
SEC,1,1,Risk mitigation competencies ensure that the laboratory’s risk mitigation plan meets organizational goals  national requirements and established standards.,1.03,Risk mitigation plans,Describes the policies and procedures regarding risk mitigation plans,Applies risk mitigation plans,Manages the implementation of risk mitigation plans,Develops policies  processes and procedures regarding risk mitigation planning and implementation,N/A
SEC,1,1,Risk mitigation competencies ensure that the laboratory’s risk mitigation plan meets organizational goals  national requirements and established standards.,1.04,Risk mitigation plan reporting,Describes policies  processes and procedures for risk mitigation plan reporting,Implements processes and procedures for risk mitigation plan reporting,Develops procedures based on established processes for risk mitigation plan reporting,Develops policies  processes and procedures for risk mitigation plan reporting,N/A
SEC,1,2,Security plan competencies ensure that the laboratory’s security plan meets organizational goals  national requirements and established standards.,2.01,Security plans,Recognizes security risks documented in the security plan,Recommends elements to be included in the security plan to address risks,Designs laboratory’s security plan in collaboration with subject matter experts,Advises organizational leadership on the security plan  including acceptability of identified risks,N/A
SEC,1,2,Security plan competencies ensure that the laboratory’s security plan meets organizational goals  national requirements and established standards.,2.02,Security plan implementation,Describes security plan elements applicable to job,Implements the security plan,Evaluates the objectives and functions of the security system,Advises organizational leadership on selecting security strategies to protect assets and on monitoring the performance of the security plan,N/A
SEC,1,2,Security plan competencies ensure that the laboratory’s security plan meets organizational goals  national requirements and established standards.,2.03,Security operations,Describes the policies  processes and procedures for maintaining security,Monitors security operations,Manages security operations to ensure defined protection measures are based on the degree of risk,Oversees security operations,N/A
SEC,1,2,Security plan competencies ensure that the laboratory’s security plan meets organizational goals  national requirements and established standards.,2.04,Inventory records related to security plans,Completes inventory records to comply with the laboratory’s security plan,Audits inventory records,Creates tools to manage inventory records,Develops policies  processes and procedures to manage inventory records,N/A
SEC,1,2,Security plan competencies ensure that the laboratory’s security plan meets organizational goals  national requirements and established standards.,2.05,Security incident response,Reports security incidents,Evaluates reported security incidents,Implements processes and procedures related to security incident response and reporting,Develops policies  processes and procedures for security incident response and reporting,N/A
SEC,1,3,Physical security competencies ensure that physical security is maintained.,3.01,Physical security infrastructure,Describes the physical security infrastructure,Trains staff on policies  processes  procedures and related regulations or guidelines regarding physical security infrastructure,Solves difficult and complex physical security problems,Directs the resolution of major conflicts in physical security policy and program objectives,N/A
SEC,1,3,Physical security competencies ensure that physical security is maintained.,3.02,Physical security access controls,Describes physical security access control policies  processes  procedures and systems,Applies physical security access control procedures and systems,Manages the implementation of physical security access control policies  processes  procedures and systems,Advises organizational authorities on methods for enhancing effectiveness and efficiency of physical security access control policies  processes  procedures and systems,N/A
SEC,1,4,Personnel security program competencies ensure implementation of a personnel security program to meet organizational goals  national requirements and,4.01,Personnel security concepts,Describes personnel security concepts,Addresses problems or questions involving personnel security concepts,Recognizes personnel security concepts to adapt processes and procedures to support organizational goals,Develops policies  processes and procedures that incorporate personnel security concepts into personnel security program,N/A
SEC,1,4,Personnel security program competencies ensure implementation of a personnel security program to meet organizational goals  national requirements and,4.02,Personnel security program,Complies with the laboratory’s personnel security program,Implements the personnel security program,Solves difficult and complex personnel security problems,Evaluates the security program for challenges and success in meeting program objectives,N/A
SEC,1,4,Personnel security program competencies ensure implementation of a personnel security program to meet organizational goals  national requirements and,4.03,Inquiry,Collects information for personnel security investigations,Analyses actions regarding personnel security matters requiring investigation,Develops policies  processes and procedures related to personnel security investigations,Validates inquiry procedures related to personnel security investigations,N/A
SEC,1,5,Information security competencies ensure that information security meets organizational goals  national requirements and established standards.,5.01,Information security,Describes policies  processes and procedures related to information security,Applies information security concepts  including principles of confidentiality  integrity and availability (CIA),Recognizes information security concepts to adapt policies  processes and procedures to support organizational goals,Evaluates policies  processes  procedures and organizational standards for information security to meet organizational goals,N/A
SEC,1,5,Information security competencies ensure that information security meets organizational goals  national requirements and established standards.,5.02,Risk identification and prioritization,Describes the risks associated with the laboratory’s sensitive information or technology related to the job being performed,Identifies risks associated with the laboratory’s sensitive information and technology  including the methods of control,Implements processes and procedures for prioritizing risks associated with the laboratory’s sensitive information and technology  including the methods of control,Recommends polices  processes and procedures for identifying  prioritizing and controlling sensitive information and technology,N/A
SEC,1,6,Transportation security program competencies ensure implementation of a transportation security plan.,6.01,Transport security,Complies with transport security policies  processes and procedures,Audits transport records,Creates transport security procedures,Establishes policies and processes to specify which materials need designated levels of transport security,N/A
